Year,China_Max,China_Min,USA_Max,USA_Min,World_Max,World_Min
2018,5946.805951935694,4987.643701623485,13159.89631048555,11037.332389439493,8440.314438555162,7078.973400078524
2019,5946.805951935694,4987.643701623485,13159.89631048555,11037.332389439493,8440.314438555162,7078.973400078524
2020,5946.805951935694,4987.643701623485,13159.89631048555,11037.332389439493,8440.314438555162,7078.973400078524
2021,5696.945892423759,4776.2236512672325,12606.972185857183,10569.47351475395,8085.687520347013,6778.904469287013
2022,5447.768510670054,4565.381251321789,12055.558782880806,10102.892943004708,7732.029528144896,6479.655398962145
2023,5198.591128916349,4354.538851376346,11504.145379904427,9636.312371255466,7378.371535942781,6180.4063286372775
2024,4949.413747162643,4143.696451430904,10952.73197692805,9169.731799506222,7024.713543740664,5881.15725831241
2025,4699.5536876507085,3932.276401074651,10399.807852299682,8701.87292482068,6670.0866255325145,5581.088327520899
2026,4450.376305897003,3721.434001129208,9848.394449323303,8235.29235307144,6316.428633330399,5281.839257196031
2027,4201.198924143297,3510.591601183765,9296.981046346926,7768.711781322196,5962.7706411282825,4982.5901868711635
2028,3952.0215423895916,3299.749201238322,8745.567643370548,7302.131209572954,5609.112648926166,4683.341116546297
2029,3702.161482877657,3088.3291508820694,8192.643518742181,6834.2723348874115,5254.485730718017,4383.272185754785
2030,3452.9841011239514,2877.4867509366263,7641.230115765803,6367.691763138169,4900.827738515901,4084.023115429917
2031,3433.813986333317,2839.146521355358,7598.807893661392,6282.847318929347,4873.619553489537,4029.6067453771893
2032,3414.643871542683,2800.80629177409,7556.385671556981,6198.002874720524,4846.411368463173,3975.190375324461
2033,3395.421235889609,2762.361020467941,7513.84722418653,6112.925979979623,4819.128640464134,3920.624919326383
2034,3376.2511210989746,2724.020790886673,7471.425002082118,6028.081535770801,4791.920455437769,3866.208549273655
2035,3357.0810063083404,2685.6805613054044,7429.002779977707,5943.237091561978,4764.712270411405,3811.7921792209268
2036,3337.9108915177067,2647.3403317241364,7386.580557873296,5858.392647353156,4737.504085385041,3757.375809168199
2037,3318.688255864632,2608.8950604179877,7344.042110502845,5773.315752612254,4710.221357386003,3702.810353170121
2038,3299.518141073998,2570.5548308367192,7301.619888398434,5688.471308403431,4683.013172359639,3648.393983117393
2039,3280.348026283364,2532.2146012554513,7259.197666294023,5603.626864194609,4655.804987333275,3593.9776130646646
2040,3261.17791149273,2493.874371674183,7216.775444189611,5518.782419985786,4628.596802306911,3539.5612430119368
2041,3241.9552758396553,2455.429100368034,7174.236996819161,5433.7055252448845,4601.314074307871,3484.9957870138587
2042,3222.7851610490216,2417.088870786766,7131.81477471475,5348.861081036062,4574.105889281507,3430.5794169611304
2043,3203.6150462583873,2378.7486412054977,7089.3925526103385,5264.016636827239,4546.897704255143,3376.1630469084025
2044,3184.444931467753,2340.4084116242293,7046.970330505927,5179.172192618417,4519.689519228779,3321.746676855674
2045,3165.222295814679,2301.963140318081,7004.431883135477,5094.095297877516,4492.4067912297405,3267.1812208575966
2046,3146.052181024045,2263.6229107368126,6962.009661031066,5009.250853668693,4465.198606203377,3212.7648508048683
2047,3126.8820662334106,2225.282681155544,6919.587438926654,4924.406409459871,4437.990421177012,3158.3484807521404
2048,3107.7119514427764,2186.9424515742758,6877.165216822243,4839.561965251049,4410.782236150648,3103.932110699412
2049,3088.4893157897022,2148.4971802681275,6834.626769451792,4754.485070510147,4383.499508151609,3049.3666547013345
2050,3069.319200999068,2110.156950686859,6792.204547347381,4669.640626301324,4356.291323125245,2994.950284648606
